章节,唐三藏,孙悟空,猪八戒,沙僧,白龙马,如来佛祖,弥勒佛,燃灯古佛,观音菩萨,陈光蕊,殷温娇,唐太宗,魏征,叔宝,敬德,法明和尚,刘洪,李彪,文殊菩萨,普贤菩萨,地藏王菩萨,谛听,菩提祖师,阿难,伽叶,灵吉菩萨,毗蓝婆菩萨,孔雀明王,玉皇大帝,王母娘娘,天皇大帝,紫微大帝,长生大帝,青华大帝,东华帝君,真武大帝,元始天尊,灵宝天尊,太上老君,千里眼,顺风耳,雷公,电母,风伯,雨师,赤脚大罗仙,推云童子,布雾郎君,太白金星,木德星君,嫦娥,李靖,金吒,木吒,哪吒,巨灵神,东方持国天王,南方增长天王,西方广目天王,北方多闻天王,杨戬,哮天犬,敖广,敖钦,敖闰,敖顺,秦广王,泾河龙王,崔玨,阎罗王,混世魔王,寅将军,熊山军,特处士,黑风怪,白衣秀士,凌虚子,黄风怪,镇元大仙,清风,明月,白骨精,黄袍怪,金角大王,银角大王,狮猁怪,红孩儿,鼍龙,虎力大仙,鹿力大仙,羊力大仙,灵感大王,独角兕大王,如意真仙,女儿国国王,蝎子精,六耳猕猴,牛魔王,铁扇公主,万圣龙王,万圣公主,树精,黄眉大王,蟒蛇精,赛太岁,蜘蛛精,百眼魔君,黄牙老象,大鹏金翅鸟,白鹿精,白面狐狸精,地涌夫人,灭法国国王,南山大王,九灵元圣,辟寒大王,辟暑大王,辟尘大王,玉兔精,大白龟
第五十一回,2136,3342,1128,394,56,70,1,2,636,69,6,225,43,9,10,8,26,6,2,0,2,0,73,0,0,6,0,0,136,36,0,0,0,0,0,0,5,1,80,2,2,35,6,2,0,1,11,4,45,3,3,46,0,83,45,12,0,4,3,1,51,0,12,9,16,16,5,6,0,2,99,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,8,6,13,9,7,4,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五十二回,2146,3452,1130,396,58,88,1,2,639,69,6,225,43,9,10,8,26,6,2,0,2,0,73,0,0,6,0,0,139,36,0,0,0,0,0,0,5,1,105,2,2,41,6,2,0,1,11,4,45,3,3,54,0,83,49,12,0,4,3,1,51,0,12,9,16,16,5,6,0,2,103,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,8,6,13,9,7,4,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五十三回,2209,3556,1161,421,60,89,1,2,646,69,6,225,43,9,10,8,26,6,2,0,2,0,73,0,0,6,0,0,139,36,0,0,0,0,0,0,5,1,107,2,2,41,6,2,0,1,11,4,45,3,3,54,0,83,49,12,0,4,3,1,51,0,12,9,16,16,5,6,0,2,105,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,9,6,13,9,7,4,1,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五十四回,2268,3595,1187,434,62,89,1,2,647,69,6,230,43,9,10,8,26,6,2,0,2,0,73,0,0,6,0,0,139,37,0,0,0,0,0,0,5,1,107,2,2,41,6,2,0,1,11,4,45,3,4,54,0,83,49,12,0,4,3,1,51,0,12,9,16,16,5,6,0,2,105,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,9,6,13,9,7,4,1,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五十五回,2330,3673,1242,455,64,93,1,2,664,69,6,230,43,9,10,8,26,6,2,0,2,0,73,0,0,6,0,0,142,37,0,0,0,0,0,0,5,1,107,2,2,41,6,2,0,1,11,4,45,3,4,54,0,83,49,12,0,5,3,1,51,0,12,9,16,16,5,6,0,2,105,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,9,6,13,9,7,4,1,5,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五十六回,2398,3738,1279,467,67,93,1,2,664,69,6,234,43,9,10,8,26,6,2,0,2,0,73,0,0,6,0,0,144,37,0,0,0,0,0,0,5,1,107,2,2,46,6,2,0,1,11,4,45,3,4,54,0,83,49,12,0,5,3,1,51,0,12,9,16,16,5,6,0,2,105,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,9,6,13,9,7,4,1,5,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五十七回,2477,3793,1312,520,71,99,1,2,708,69,6,235,43,9,10,8,26,6,2,0,2,0,73,0,0,6,0,0,144,37,0,0,0,0,0,0,5,1,107,2,2,46,6,2,0,1,11,4,45,3,4,54,0,90,49,12,0,5,3,1,51,0,12,9,16,16,5,6,0,2,105,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,9,6,13,9,7,4,1,5,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五十八回,2513,3867,1328,552,72,124,1,2,759,69,6,235,43,9,10,8,26,6,2,0,3,5,73,0,0,6,0,0,149,37,0,0,0,0,0,0,5,1,107,2,2,47,6,2,0,1,11,4,45,3,4,55,0,95,49,12,0,5,4,1,51,0,12,9,16,16,6,6,0,3,105,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,9,6,13,9,7,4,1,5,0,4,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第五十九回,2546,3977,1343,561,73,125,1,2,775,69,6,235,43,9,10,8,26,6,2,0,3,5,73,0,0,9,0,0,149,37,0,0,0,0,0,0,5,1,107,2,2,47,6,2,0,1,11,4,45,3,4,55,0,95,49,12,0,5,4,1,51,0,12,9,16,16,6,6,0,3,109,4,0,4,0,8,5,6,18,37,33,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十回,2555,4057,1346,562,73,125,1,2,780,69,6,235,43,9,10,8,26,6,2,0,3,5,73,0,0,9,0,0,149,37,0,0,0,0,0,0,5,1,110,2,2,50,6,2,0,1,11,4,45,3,4,55,0,96,49,12,0,5,4,1,51,0,12,9,16,16,6,6,0,3,125,4,0,4,0,8,5,6,18,38,33,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十一回,2574,4130,1385,568,74,127,1,2,781,69,6,235,43,9,10,8,26,6,2,0,3,5,73,0,0,9,0,0,152,37,0,0,0,0,0,0,5,1,110,2,2,51,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,51,0,12,9,16,16,6,6,0,3,140,4,0,4,0,8,5,6,18,39,33,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十二回,2619,4189,1408,576,74,128,1,2,782,69,6,236,43,9,10,8,26,6,2,0,3,5,73,0,0,9,0,0,152,40,0,0,0,0,0,0,5,1,110,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,51,0,12,9,16,16,6,6,0,3,141,4,0,4,0,8,5,6,18,39,33,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,40,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十三回,2633,4258,1468,582,74,129,1,2,784,69,6,236,43,9,10,8,26,6,2,0,3,5,73,0,0,9,0,0,153,42,0,0,0,0,0,0,5,1,112,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,54,0,12,9,16,16,6,6,0,3,142,4,0,4,0,8,5,6,18,39,33,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十四回,2687,4280,1487,588,75,129,1,2,784,69,6,236,43,9,10,8,26,6,2,0,3,5,73,0,0,9,0,0,153,42,0,0,0,0,0,0,5,1,112,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,54,0,12,9,16,16,6,6,0,3,142,4,0,4,0,8,5,6,18,39,33,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十五回,2729,4338,1503,602,77,133,1,2,786,69,6,236,43,9,10,8,26,6,2,0,3,5,73,0,0,9,0,0,156,42,0,0,0,0,0,0,5,1,112,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,54,0,12,9,16,16,6,6,0,3,142,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十六回,2747,4433,1509,604,78,134,15,16,794,69,6,236,43,9,10,8,26,6,2,0,3,5,79,0,0,9,0,0,159,42,0,0,0,0,0,0,6,1,112,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,54,0,12,9,16,16,6,6,0,3,142,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十七回,2772,4505,1564,613,78,134,15,16,794,69,6,236,43,9,10,8,26,6,2,0,3,5,79,0,0,9,0,0,159,42,0,0,0,0,0,0,6,1,112,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,54,0,12,9,16,16,6,6,0,3,142,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十八回,2816,4559,1608,624,78,134,15,16,794,69,6,240,43,9,10,8,26,6,2,0,3,5,79,0,0,9,0,0,159,42,0,0,0,0,0,0,6,1,112,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,54,0,12,9,16,16,6,7,1,3,142,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六十九回,2836,4648,1649,640,78,134,15,16,797,69,6,240,43,9,10,8,26,6,2,0,3,5,79,0,0,9,0,0,159,44,0,0,0,0,0,0,6,1,113,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,54,0,14,9,16,16,6,7,1,3,142,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第七十回,2847,4734,1656,641,78,134,15,16,797,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,0,0,159,44,0,0,0,0,0,0,6,1,113,2,2,52,6,2,0,1,11,4,45,3,4,59,0,96,56,14,0,5,4,1,54,0,14,9,16,16,6,7,1,3,143,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第七十一回,2852,4815,1659,641,78,134,15,16,824,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,0,0,160,45,0,0,0,0,0,0,6,1,117,2,2,52,6,2,0,1,11,4,48,3,4,60,0,96,56,14,0,5,4,1,54,0,14,9,16,16,6,7,1,3,143,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第七十二回,2893,4860,1701,652,78,134,15,16,828,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,0,0,160,45,0,0,0,0,0,0,6,1,117,2,2,52,6,2,0,1,11,4,48,3,5,60,0,96,56,14,0,5,4,1,54,0,14,9,16,16,6,7,1,3,143,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第七十三回,2944,4947,1715,661,78,134,15,16,841,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,160,45,0,0,0,0,0,0,6,1,117,2,2,52,6,2,0,1,11,4,48,3,5,60,0,96,56,14,0,5,4,1,54,0,14,9,16,16,6,7,1,3,143,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
第七十四回,2977,5035,1740,665,78,134,15,16,841,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,161,47,0,0,0,0,0,0,6,1,117,2,2,53,6,2,0,1,11,4,55,3,5,60,0,96,56,14,0,5,4,1,54,0,14,9,16,16,6,7,1,3,143,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
第七十五回,3000,5134,1765,672,79,135,15,16,846,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,161,48,0,0,0,0,0,0,6,1,120,2,2,54,6,2,0,1,11,4,55,3,5,60,0,96,57,14,0,5,4,1,54,0,14,9,16,16,6,7,1,3,144,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
第七十六回,3051,5231,1836,683,80,135,15,16,848,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,161,48,0,0,0,0,0,0,6,1,120,2,2,54,6,2,0,1,11,4,55,3,5,60,0,96,57,14,0,5,4,1,54,0,14,9,16,16,6,7,1,3,144,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
第七十七回,3101,5319,1879,707,81,169,15,16,855,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,161,48,0,0,0,0,0,0,6,1,120,2,2,54,6,2,0,1,11,4,55,3,5,60,0,96,57,14,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
第七十八回,3159,5360,1893,718,81,170,15,16,856,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,161,48,0,0,0,0,0,0,6,1,120,2,2,55,6,2,0,1,11,4,55,3,5,60,0,96,57,14,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
第七十九回,3184,5429,1923,725,81,170,15,16,856,69,6,241,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,161,48,0,0,0,0,2,0,6,1,120,2,2,55,6,2,0,1,11,4,55,3,5,60,0,96,57,14,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
第八十回,3275,5477,1954,740,81,171,15,16,861,69,6,242,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,161,48,0,0,0,0,2,0,6,1,120,2,2,57,6,2,0,1,11,4,55,3,5,61,0,96,57,14,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,39,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
第八十一回,3344,5550,1980,753,82,174,15,16,865,69,6,244,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,162,48,0,0,0,0,2,0,6,1,121,2,2,57,6,2,0,1,11,4,55,3,6,62,0,96,58,14,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,40,34,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
第八十二回,3431,5617,2020,760,83,175,15,16,866,69,6,244,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,162,48,0,0,0,0,2,0,6,1,121,2,2,57,6,2,0,1,11,4,55,3,7,62,0,96,58,14,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,40,35,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
第八十三回,3472,5696,2043,774,92,182,15,16,868,69,6,244,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,169,48,0,0,0,0,2,0,6,1,122,2,2,57,6,2,0,1,11,4,86,3,7,72,1,97,73,15,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,41,35,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,1,0,0,0,0,0,0,0,0
第八十四回,3504,5758,2057,783,96,182,15,16,879,69,6,244,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,169,48,0,0,0,0,2,0,6,1,122,2,2,57,6,2,0,1,11,4,86,3,7,72,1,97,73,15,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,41,36,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,1,0,0,0,0,0,0,0,0
第八十五回,3568,5813,2120,794,98,182,15,16,879,69,6,245,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,169,49,0,0,0,0,2,0,6,1,122,2,2,57,6,2,0,1,11,4,86,3,7,72,1,97,73,15,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,41,36,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,0,2,0,11,7,1,2,0,0,0,1,0,0,0,0,0,0,0,0
第八十六回,3631,5889,2180,815,98,183,15,16,879,69,6,245,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,169,49,0,0,0,0,2,0,6,1,123,2,2,58,6,2,0,1,11,4,86,3,7,72,1,97,73,15,0,5,4,1,54,0,14,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,42,36,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,0,0,0,0,0,0
第八十七回,3657,5968,2196,823,98,186,15,16,879,69,6,245,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,183,49,0,0,0,0,2,0,6,1,123,2,2,58,6,4,0,1,13,4,86,3,7,72,1,97,73,15,0,5,4,1,54,0,16,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,42,36,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,0,0,0,0,0,0
第八十八回,3699,5996,2222,837,98,186,15,16,882,69,6,245,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,183,49,0,0,0,0,2,0,6,1,123,2,2,58,6,4,0,1,13,4,86,3,7,72,1,97,73,15,0,5,4,1,54,0,16,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,42,36,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,0,0,0,0,0,0
第八十九回,3715,6036,2243,855,99,186,15,16,882,69,6,245,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,183,49,0,0,0,0,2,0,6,1,123,2,2,61,6,4,0,1,13,4,86,3,7,72,1,97,73,15,0,5,4,1,54,0,16,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,42,36,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,6,0,0,0,0,0
第九十回,3736,6116,2271,879,99,186,15,16,882,69,6,245,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,183,49,0,0,0,0,2,0,6,1,125,2,2,61,6,4,0,1,13,4,86,3,7,72,1,97,73,15,0,5,5,1,54,0,16,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,42,36,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,0,0,0,0,0
第九十一回,3801,6162,2282,889,99,186,15,16,883,69,6,248,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,183,49,0,0,0,0,2,0,6,1,125,2,2,62,6,4,0,1,13,4,86,3,7,72,1,97,73,15,0,5,5,1,54,0,16,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,42,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,3,3,4,0,0
第九十二回,3843,6246,2309,907,99,186,15,16,883,69,6,248,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,192,49,0,0,0,0,2,0,6,1,125,2,2,62,6,4,0,1,13,4,93,3,7,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,42,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十三回,3930,6289,2336,920,100,186,15,16,884,69,6,249,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,192,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,7,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,42,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十四回,3955,6319,2361,931,100,186,15,16,887,69,6,249,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,193,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,9,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,42,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十五回,3983,6382,2371,934,100,186,15,16,887,69,6,249,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,193,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,45,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十六回,4026,6396,2391,941,100,187,15,16,890,69,6,249,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,193,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,45,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十七回,4074,6461,2410,956,103,188,15,16,896,69,6,249,43,9,10,8,26,6,2,0,5,5,79,0,0,9,1,0,195,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,45,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十八回,4147,6499,2427,968,103,208,15,17,907,69,6,252,43,9,10,8,26,6,2,0,5,5,79,0,9,9,1,0,195,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,46,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十九回,4188,6521,2445,981,106,211,15,17,919,69,6,253,43,9,10,8,26,6,2,0,5,5,79,0,9,9,1,0,195,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,145,4,0,4,0,8,5,7,18,46,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第一百回,4221,6540,2462,993,109,216,16,18,948,69,6,281,43,9,10,8,26,6,3,1,5,5,79,0,10,9,1,0,195,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,17,19,6,7,1,3,145,4,0,4,0,8,5,7,18,46,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
